arch,install_rc,generate_rc,notes,timestamp
auteur,1,skipped,install_failed;,20260810T180319Z
auteur,0,0,,20260810T180519Z
rv_tracer,0,0,,20260810T180540Z
chimera,0,1,,20260810T180554Z
chimera,0,0,,20260810T182722Z
picobello,0,0,,20260810T183024Z
pulp_soc,0,0,,20260810T183404Z
pulp_cluster,0,0,,20260810T183511Z
safety_island,0,1,no_gitmodules_entry,20260810T183630Z
magia,0,0,,20260810T183630Z
cheshire,0,0,,20260810T184513Z
astral,0,0,,20260810T185321Z
spatz,0,1,,20260810T185827Z
cva6,0,0,,20260810T185836Z
safety_island,0,0,,20260811T040155Z
spatz,0,1,,20260811T040209Z
spatz,0,0,,20260811T040343Z
neorv32_verilog,1,skipped,submodule_init_failed,20260811T040415Z
neorv32_vhdl,1,skipped,submodule_init_failed,20260811T040415Z
rv12,0,0,,20260811T040415Z
iob_soc,1,skipped,install_failed;,20260811T040456Z
riscv_vhdl,1,skipped,submodule_init_failed,20260811T042202Z
soc_automation,1,skipped,submodule_init_failed,20260811T042202Z
croc,0,0,,20260811T045916Z
neorv32_verilog,1,skipped,install_failed;,20260811T045950Z
neorv32_vhdl,1,skipped,install_failed;,20260811T051023Z
riscv_vhdl,1,skipped,install_failed;,20260811T051023Z
soc_automation,0,1,,20260811T051524Z
ara,0,1,,20260811T050427Z
openpiton,0,1,,20260811T052236Z
araxl,0,1,,20260811T053548Z
snitch_cluster,0,0,,20260811T061138Z
pulpissimo,0,0,,20260811T061558Z
carfield,0,0,,20260811T061709Z
ara,0,0,,20260811T061603Z
occamy,0,0,,20260811T063318Z
cheshire_ihp130_o,0,0,,20260811T063426Z
mempool,0,0,,20260811T064220Z
araxl,0,0,no-build-verilator,20260811T065005Z
araxl,0,0,no-build-verilator,20260811T065005Z
araxl,0,0,no-build-verilator,20260811T065005Z
rocket_chip,1,skipped,submodule_init_failed,20260811T065411Z
gemmini,1,skipped,install_failed;,20260811T065412Z
ibex,1,skipped,install_failed;no_gitmodules_entry,20260811T065421Z
rocket_chip,1,skipped,install_failed;,20260811T065411Z
gemmini,1,skipped,install_failed;,20260811T065500Z
ibex,1,skipped,install_failed;no_gitmodules_entry,20260811T065501Z
hero,1,skipped,submodule_init_failed,20260811T065502Z
hero,1,skipped,install_failed;,20260811T065422Z
rocket_chip,1,skipped,install_failed;,20260811T065411Z
gemmini,1,skipped,install_failed;,20260811T080143Z
ibex,1,skipped,install_failed;no_gitmodules_entry,20260811T080144Z
hero,1,skipped,install_failed;,20260811T080144Z
hero,0,1,retry-auto,20260812T150016Z
gemmini,0,128,retry-auto,20260812T150016Z
rocket_chip,0,0,retry-sbt,20260812T145953Z
riscv_vhdl,0,1,retry-ghdl,20260812T150445Z
rocket_chip,0,0,retry-sbt-fixed,20260812T145953Z
iob_soc,0,?,retry-nix-install,20260812T150457Z
riscv_vhdl,0,0,retry-ghdl-linked,20260812T151609Z
openpiton,0,1,retry-dtc,20260812T145953Z
neorv32_vhdl,0,1,retry-ghdl,20260812T150445Z
iob_soc,0,0,retry-nix,20260812T150457Z
ibex,0,1,retry-cloned,20260812T150016Z
gemmini,0,2,retry-chipyard-clone,20260812T150841Z
hero,0,1,retry-auto-skip-deps,20260812T150457Z
hero,1,56,retry-skip-llvm,20260812T204621Z
neorv32_vhdl,0,0,retry-ghdl-ready,20260812T204619Z
hero,1,1,retry-bender-path,20260812T204800Z
hero,1,1,retry-bender-0.21,20260812T205311Z
gemmini,0,1,retry-skip-chipyard,20260812T204622Z
hero,0,2,retry-skip-bender-update,20260812T205737Z
hero,0,0,retry-deps-snapshot,20260812T205814Z
vexriscv,0,0,clone_via_install,20260813T155012Z
opentitan,0,1,clone_via_install,20260813T155012Z
black_parrot,0,1,clone_via_install,20260813T155012Z
veer_el2,0,1,clone_via_install,20260813T155012Z
opentitan,0,0,clone_via_install,20260813T155429Z
black_parrot,0,0,clone_via_install,20260813T155429Z
veer_el2,0,0,clone_via_install,20260813T155429Z
vexriscv,0,0,clone_via_install,20260813T155444Z
opentitan,0,0,live_rerun,20260814T160227Z
